program_id,athlete_id,athlete_first_name,athlete_last_name,country,start_number,swim,t1,bike,t2,run,position,total_time,event,host_country
2301,5302,Simon,Whitfield,CAN,18,0 days 00:17:56,0 days 00:00:21,0 days 00:58:54,0 days 00:00:17,0 days 00:30:52,1.0,0 days 01:48:24,sydney_2000,AUS
2301,5640,Stefan,Vuckovic,GER,50,0 days 00:18:13,0 days 00:00:21,0 days 00:58:32,0 days 00:00:17,0 days 00:31:08,2.0,0 days 01:48:37,sydney_2000,AUS
2301,93474,Jan,Rehula,CZE,32,0 days 00:17:45,0 days 00:00:26,0 days 00:58:54,0 days 00:00:19,0 days 00:31:20,3.0,0 days 01:48:45,sydney_2000,AUS
2301,5336,Dmitriy,Gaag,KAZ,36,0 days 00:17:48,0 days 00:00:22,0 days 00:58:48,0 days 00:00:17,0 days 00:31:42,4.0,0 days 01:49:03,sydney_2000,AUS
2301,5306,Ivan,Raña Fuentes,ESP,8,0 days 00:17:48,0 days 00:00:22,0 days 00:58:51,0 days 00:00:17,0 days 00:31:47,5.0,0 days 01:49:09,sydney_2000,AUS
2301,5786,Miles,Stewart,AUS,21,0 days 00:17:55,0 days 00:00:24,0 days 00:58:41,0 days 00:00:17,0 days 00:31:54,6.0,0 days 01:49:13,sydney_2000,AUS
2301,5324,Olivier,Marceau,SUI,45,0 days 00:17:51,0 days 00:00:19,0 days 00:57:51,0 days 00:00:19,0 days 00:32:52,7.0,0 days 01:49:18,sydney_2000,AUS
2301,5310,Reto,Hug,SUI,24,0 days 00:17:55,0 days 00:00:21,0 days 00:58:54,0 days 00:00:17,0 days 00:31:51,8.0,0 days 01:49:21,sydney_2000,AUS
2301,5708,Simon,Lessing,GBR,2,0 days 00:17:18,0 days 00:00:24,0 days 00:59:21,0 days 00:00:17,0 days 00:31:58,9.0,0 days 01:49:23,sydney_2000,AUS
2301,5305,Tim,Don,GBR,3,0 days 00:17:37,0 days 00:00:21,0 days 00:59:12,0 days 00:00:17,0 days 00:31:57,10.0,0 days 01:49:28,sydney_2000,AUS
2301,5355,Andriy,Glushchenko,UKR,44,0 days 00:17:40,0 days 00:00:29,0 days 00:59:07,0 days 00:00:22,0 days 00:31:49,11.0,0 days 01:49:30,sydney_2000,AUS
2301,5322,Andreas,Raelert,GER,51,0 days 00:17:49,0 days 00:00:22,0 days 00:58:53,0 days 00:00:16,0 days 00:32:08,12.0,0 days 01:49:31,sydney_2000,AUS
2301,5350,Martin,Krnavek,CZE,33,0 days 00:17:49,0 days 00:00:21,0 days 00:58:59,0 days 00:00:21,0 days 00:32:05,13.0,0 days 01:49:37,sydney_2000,AUS
2301,5304,Leandro,Macedo,BRA,4,0 days 00:18:24,0 days 00:00:21,0 days 00:58:18,0 days 00:00:19,0 days 00:32:24,14.0,0 days 01:49:49,sydney_2000,AUS
2301,5341,Volodymyr,Polikarpenko,UKR,43,0 days 00:17:35,0 days 00:00:22,0 days 00:59:15,0 days 00:00:21,0 days 00:32:13,15.0,0 days 01:49:50,sydney_2000,AUS
2301,5660,Craig,Watson,NZL,15,0 days 00:17:41,0 days 00:00:22,0 days 00:58:57,0 days 00:00:19,0 days 00:32:37,16.0,0 days 01:50:01,sydney_2000,AUS
2301,5325,Hunter,Kemper,USA,38,0 days 00:17:48,0 days 00:00:22,0 days 00:58:57,0 days 00:00:17,0 days 00:32:37,17.0,0 days 01:50:04,sydney_2000,AUS
2301,10057,Markus,Keller,SUI,25,0 days 00:18:15,0 days 00:00:21,0 days 00:58:29,0 days 00:00:21,0 days 00:32:45,18.0,0 days 01:50:15,sydney_2000,AUS
2301,5326,Carl,Blasco,FRA,46,0 days 00:17:37,0 days 00:00:27,0 days 00:58:57,0 days 00:00:19,0 days 00:32:52,19.0,0 days 01:50:17,sydney_2000,AUS
2301,5301,Conrad,Stoltz,RSA,20,0 days 00:18:25,0 days 00:00:22,0 days 00:57:17,0 days 00:00:21,0 days 00:33:58,20.0,0 days 01:50:24,sydney_2000,AUS
2301,5820,Takumi,Obara,JPN,29,0 days 00:17:46,0 days 00:00:24,0 days 00:59:01,0 days 00:00:17,0 days 00:32:58,21.0,0 days 01:50:28,sydney_2000,AUS
2301,5349,Juraci,Moreira,BRA,5,0 days 00:18:26,0 days 00:00:22,0 days 00:58:25,0 days 00:00:19,0 days 00:33:08,22.0,0 days 01:50:43,sydney_2000,AUS
2301,5333,Eneko,Llanos Burguera,ESP,7,0 days 00:18:18,0 days 00:00:24,0 days 00:58:22,0 days 00:00:19,0 days 00:33:19,23.0,0 days 01:50:47,sydney_2000,AUS
2301,10056,Jean-Christophe,Guinchard,SUI,26,0 days 00:18:25,0 days 00:00:21,0 days 00:58:18,0 days 00:00:17,0 days 00:33:27,24.0,0 days 01:50:50,sydney_2000,AUS
2301,10169,Ryan,Bolton,USA,39,0 days 00:18:00,0 days 00:00:29,0 days 00:58:45,0 days 00:00:19,0 days 00:33:14,25.0,0 days 01:50:52,sydney_2000,AUS
2301,5308,Hamish,Carter,NZL,14,0 days 00:17:23,0 days 00:00:24,0 days 00:59:15,0 days 00:00:19,0 days 00:33:31,26.0,0 days 01:50:56,sydney_2000,AUS
2301,5661,Craig,Walton,AUS,22,0 days 00:17:17,0 days 00:00:26,0 days 00:59:16,0 days 00:00:19,0 days 00:33:35,27.0,0 days 01:50:56,sydney_2000,AUS
2301,5706,Oscar,Galindez,ARG,48,0 days 00:18:27,0 days 00:00:22,0 days 00:58:58,0 days 00:00:21,0 days 00:32:48,28.0,0 days 01:50:58,sydney_2000,AUS
2301,5700,Johannes,Enzenhofer,AUT,27,0 days 00:17:59,0 days 00:00:22,0 days 00:58:45,0 days 00:00:24,0 days 00:33:28,29.0,0 days 01:51:01,sydney_2000,AUS
2301,5357,Csaba,Kuttor,HUN,35,0 days 00:17:37,0 days 00:00:26,0 days 00:59:10,0 days 00:00:24,0 days 00:33:23,30.0,0 days 01:51:05,sydney_2000,AUS
2301,10059,Stephan,Bignet,FRA,47,0 days 00:17:34,0 days 00:00:26,0 days 00:59:12,0 days 00:00:22,0 days 00:33:33,31.0,0 days 01:51:11,sydney_2000,AUS
2301,5611,Alessandro,Bottoni,ITA,19,0 days 00:18:22,0 days 00:00:26,0 days 00:58:24,0 days 00:00:19,0 days 00:33:45,32.0,0 days 01:51:18,sydney_2000,AUS
2301,5356,Vasilis,Krommidas,GRE,41,0 days 00:18:00,0 days 00:00:24,0 days 00:58:51,0 days 00:00:24,0 days 00:33:46,33.0,0 days 01:51:27,sydney_2000,AUS
2301,5335,Peter,Robertson,AUS,23,0 days 00:18:26,0 days 00:00:19,0 days 00:58:22,0 days 00:00:17,0 days 00:34:10,34.0,0 days 01:51:38,sydney_2000,AUS
2301,5656,Joachim,Willen,SWE,52,0 days 00:17:27,0 days 00:00:21,0 days 00:59:24,0 days 00:00:17,0 days 00:34:08,35.0,0 days 01:51:39,sydney_2000,AUS
2301,5705,Hideo,Fukui,JPN,30,0 days 00:17:27,0 days 00:00:29,0 days 00:59:11,0 days 00:00:19,0 days 00:34:35,36.0,0 days 01:52:03,sydney_2000,AUS
2301,5346,Gilberto,Gonzalez,VEN,53,0 days 00:18:24,0 days 00:00:29,0 days 00:58:20,0 days 00:00:19,0 days 00:34:38,37.0,0 days 01:52:13,sydney_2000,AUS
2301,10171,Ben,Bright,NZL,16,0 days 00:17:50,0 days 00:00:22,0 days 00:58:48,0 days 00:00:21,0 days 00:34:50,38.0,0 days 01:52:16,sydney_2000,AUS
2301,5604,Paulo Armando,Barcellos Saraiva,BRA,6,0 days 00:18:23,0 days 00:00:22,0 days 00:58:30,0 days 00:00:21,0 days 00:36:03,39.0,0 days 01:53:41,sydney_2000,AUS
2301,5826,Nick,Radkewich,USA,40,0 days 00:18:21,0 days 00:00:22,0 days 00:58:29,0 days 00:00:24,0 days 00:36:05,40.0,0 days 01:53:43,sydney_2000,AUS
2301,10170,Matias,Brain,CHI,42,0 days 00:18:27,0 days 00:00:27,0 days 00:58:20,0 days 00:00:24,0 days 00:36:01,41.0,0 days 01:53:43,sydney_2000,AUS
2301,28487,Eric,Van Der Linden,NED,10,0 days 00:17:57,0 days 00:00:24,0 days 00:58:47,0 days 00:00:22,0 days 00:36:58,42.0,0 days 01:54:31,sydney_2000,AUS
2301,10168,Rob,Barel,NED,11,0 days 00:18:14,0 days 00:00:17,0 days 01:03:16,0 days 00:00:14,0 days 00:33:30,43.0,0 days 01:55:36,sydney_2000,AUS
2301,10160,Jan,Hansen,DEN,17,0 days 00:19:02,0 days 00:00:21,0 days 01:02:28,0 days 00:00:19,0 days 00:33:29,44.0,0 days 01:55:41,sydney_2000,AUS
2301,10058,Roland,Melis,AHO,28,0 days 00:18:49,0 days 00:00:31,0 days 01:02:31,0 days 00:00:16,0 days 00:34:01,45.0,0 days 01:56:10,sydney_2000,AUS
2301,5303,Hiroyuki,Nishiuchi,JPN,31,0 days 00:17:50,0 days 00:00:24,0 days 01:03:39,0 days 00:00:17,0 days 00:34:46,46.0,0 days 01:56:59,sydney_2000,AUS
2301,6400,Mikhail,Kuznestov,KAZ,37,0 days 00:18:27,0 days 00:00:26,0 days 01:04:17,0 days 00:00:21,0 days 00:35:38,47.0,0 days 01:59:13,sydney_2000,AUS
2301,28488,Dennis,Looze,NED,12,0 days 00:17:46,0 days 00:00:21,0 days 00:58:59,0 days 00:00:19,0 days 00:42:54,48.0,0 days 02:00:22,sydney_2000,AUS
1791,5308,Hamish,Carter,NZL,28,0 days 00:18:19,0 days 00:00:19,0 days 01:00:24,0 days 00:00:17,0 days 00:32:04,1.0,0 days 01:51:06,athens_2004,GRE
1791,5297,Bevan,Docherty,NZL,27,0 days 00:18:13,0 days 00:00:19,0 days 01:00:32,0 days 00:00:19,0 days 00:32:10,2.0,0 days 01:51:14,athens_2004,GRE
1791,5320,Sven,Riederer,SUI,48,0 days 00:18:17,0 days 00:00:17,0 days 01:00:28,0 days 00:00:19,0 days 00:32:31,3.0,0 days 01:51:32,athens_2004,GRE
1791,5298,Greg,Bennett,AUS,24,0 days 00:18:19,0 days 00:00:16,0 days 01:01:13,0 days 00:00:19,0 days 00:31:53,4.0,0 days 01:51:41,athens_2004,GRE
1791,5321,Frederic,Belaubre,FRA,50,0 days 00:18:04,0 days 00:00:19,0 days 01:00:39,0 days 00:00:24,0 days 00:32:58,5.0,0 days 01:52:00,athens_2004,GRE
1791,5322,Andreas,Raelert,GER,15,0 days 00:18:07,0 days 00:00:17,0 days 01:01:23,0 days 00:00:17,0 days 00:32:47,6.0,0 days 01:52:35,athens_2004,GRE
1791,5323,Rasmus,Henning,DEN,6,0 days 00:18:19,0 days 00:00:16,0 days 01:01:13,0 days 00:00:17,0 days 00:32:49,7.0,0 days 01:52:36,athens_2004,GRE
1791,5324,Olivier,Marceau,SUI,46,0 days 00:18:17,0 days 00:00:17,0 days 01:00:28,0 days 00:00:19,0 days 00:33:40,8.0,0 days 01:52:44,athens_2004,GRE
1791,5325,Hunter,Kemper,USA,8,0 days 00:18:11,0 days 00:00:19,0 days 01:02:23,0 days 00:00:22,0 days 00:31:51,9.0,0 days 01:52:46,athens_2004,GRE
1791,5307,Simon,Thompson,AUS,26,0 days 00:18:19,0 days 00:00:17,0 days 01:02:17,0 days 00:00:16,0 days 00:31:53,10.0,0 days 01:52:47,athens_2004,GRE
1791,5302,Simon,Whitfield,CAN,16,0 days 00:18:21,0 days 00:00:19,0 days 01:02:15,0 days 00:00:19,0 days 00:32:19,11.0,0 days 01:53:15,athens_2004,GRE
1791,5326,Carl,Blasco,FRA,51,0 days 00:18:06,0 days 00:00:17,0 days 01:01:24,0 days 00:00:19,0 days 00:33:30,12.0,0 days 01:53:20,athens_2004,GRE
1791,5327,Hirokatsu,Tayama,JPN,34,0 days 00:18:03,0 days 00:00:17,0 days 01:01:25,0 days 00:00:17,0 days 00:33:42,13.0,0 days 01:53:28,athens_2004,GRE
1791,5328,Stephane,Poulat,FRA,49,0 days 00:18:04,0 days 00:00:19,0 days 01:01:24,0 days 00:00:19,0 days 00:34:04,14.0,0 days 01:53:50,athens_2004,GRE
1791,73138,Igor,Sysoev,RUS,41,0 days 00:18:00,0 days 00:00:20,0 days 01:02:34,0 days 00:00:22,0 days 00:32:56,15.0,0 days 01:53:50,athens_2004,GRE
1791,5330,Andrew,Johns,GBR,43,0 days 00:18:11,0 days 00:00:19,0 days 01:00:33,0 days 00:00:19,0 days 00:35:11,16.0,0 days 01:54:15,athens_2004,GRE
1791,5331,Danylo,Sapunov,UKR,21,0 days 00:18:14,0 days 00:00:19,0 days 01:02:21,0 days 00:00:19,0 days 00:33:38,17.0,0 days 01:54:33,athens_2004,GRE
1791,5305,Tim,Don,GBR,44,0 days 00:18:07,0 days 00:00:17,0 days 01:01:22,0 days 00:00:19,0 days 00:34:54,18.0,0 days 01:54:42,athens_2004,GRE
1791,5332,Maik,Petzold,GER,14,0 days 00:18:17,0 days 00:00:17,0 days 01:02:18,0 days 00:00:19,0 days 00:33:57,19.0,0 days 01:54:50,athens_2004,GRE
1791,5333,Eneko,Llanos Burguera,ESP,31,0 days 00:18:17,0 days 00:00:17,0 days 01:02:18,0 days 00:00:20,0 days 00:33:58,20.0,0 days 01:54:52,athens_2004,GRE
1791,5334,Marko,Albert,EST,22,0 days 00:18:01,0 days 00:00:17,0 days 01:01:31,0 days 00:00:19,0 days 00:35:37,21.0,0 days 01:55:26,athens_2004,GRE
1791,5300,Andy,Potts,USA,9,0 days 00:17:49,0 days 00:00:17,0 days 01:02:46,0 days 00:00:22,0 days 00:34:42,22.0,0 days 01:55:36,athens_2004,GRE
1791,5306,Ivan,Raña Fuentes,ESP,30,0 days 00:18:08,0 days 00:00:17,0 days 01:02:29,0 days 00:00:20,0 days 00:34:50,23.0,0 days 01:55:44,athens_2004,GRE
1791,5335,Peter,Robertson,AUS,25,0 days 00:18:16,0 days 00:00:16,0 days 01:01:17,0 days 00:00:17,0 days 00:35:55,24.0,0 days 01:55:44,athens_2004,GRE
1791,5336,Dmitriy,Gaag,KAZ,20,0 days 00:18:29,0 days 00:00:17,0 days 01:05:05,0 days 00:00:19,0 days 00:32:36,25.0,0 days 01:56:28,athens_2004,GRE
1791,5337,Sebastian,Dehmer,GER,12,0 days 00:18:23,0 days 00:00:17,0 days 01:05:14,0 days 00:00:19,0 days 00:33:07,26.0,0 days 01:57:01,athens_2004,GRE
1791,5338,Victor,Plata,USA,10,0 days 00:18:16,0 days 00:00:17,0 days 01:05:23,0 days 00:00:22,0 days 00:33:12,27.0,0 days 01:57:09,athens_2004,GRE
1791,5339,Daniel,Fontana,ITA,19,0 days 00:18:25,0 days 00:00:19,0 days 01:05:11,0 days 00:00:19,0 days 00:33:19,28.0,0 days 01:57:14,athens_2004,GRE
1791,5340,Filip,Ospaly,CZE,36,0 days 00:18:23,0 days 00:00:19,0 days 01:05:13,0 days 00:00:19,0 days 00:33:22,29.0,0 days 01:57:17,athens_2004,GRE
1791,5341,Volodymyr,Polikarpenko,UKR,37,0 days 00:18:03,0 days 00:00:19,0 days 01:05:34,0 days 00:00:19,0 days 00:33:43,30.0,0 days 01:57:39,athens_2004,GRE
1791,5304,Leandro,Macedo,BRA,3,0 days 00:18:25,0 days 00:00:16,0 days 01:05:14,0 days 00:00:22,0 days 00:33:44,31.0,0 days 01:57:39,athens_2004,GRE
1791,5303,Hiroyuki,Nishiuchi,JPN,33,0 days 00:18:20,0 days 00:00:17,0 days 01:05:16,0 days 00:00:19,0 days 00:33:49,32.0,0 days 01:57:43,athens_2004,GRE
1791,80764,Nathan,Richmond,NZL,29,0 days 00:18:04,0 days 00:00:19,0 days 01:02:31,0 days 00:00:19,0 days 00:37:06,33.0,0 days 01:58:00,athens_2004,GRE
1791,5344,Paulo,Miyashiro,BRA,5,0 days 00:17:57,0 days 00:00:17,0 days 01:05:41,0 days 00:00:22,0 days 00:34:20,34.0,0 days 01:58:15,athens_2004,GRE
1791,5345,Tyler,Butterfield,BER,2,0 days 00:19:34,0 days 00:00:17,0 days 01:04:02,0 days 00:00:24,0 days 00:34:31,35.0,0 days 01:58:26,athens_2004,GRE
1791,5346,Gilberto,Gonzalez,VEN,18,0 days 00:18:24,0 days 00:00:19,0 days 01:05:09,0 days 00:00:19,0 days 00:35:19,36.0,0 days 01:59:12,athens_2004,GRE
1791,5347,Norbert,Domnik,AUT,42,0 days 00:19:34,0 days 00:00:17,0 days 01:04:02,0 days 00:00:22,0 days 00:35:20,37.0,0 days 01:59:13,athens_2004,GRE
1791,88678,Eligio,Cervantes Islas,MEX,40,0 days 00:18:44,0 days 00:00:17,0 days 01:04:54,0 days 00:00:20,0 days 00:35:31,38.0,0 days 01:59:26,athens_2004,GRE
1791,5348,Brent,McMahon,CAN,17,0 days 00:18:30,0 days 00:00:17,0 days 01:05:08,0 days 00:00:19,0 days 00:35:49,39.0,0 days 01:59:44,athens_2004,GRE
1791,5310,Reto,Hug,SUI,47,0 days 00:18:19,0 days 00:00:17,0 days 01:05:19,0 days 00:00:17,0 days 00:37:44,40.0,0 days 02:01:40,athens_2004,GRE
1791,5349,Juraci,Moreira,BRA,4,0 days 00:18:27,0 days 00:00:17,0 days 01:09:19,0 days 00:00:24,0 days 00:34:31,41.0,0 days 02:02:35,athens_2004,GRE
1791,5350,Martin,Krnavek,CZE,35,0 days 00:18:19,0 days 00:00:20,0 days 01:05:16,0 days 00:00:20,0 days 00:38:58,42.0,0 days 02:02:54,athens_2004,GRE
1791,5351,Daniel,Lee Chi Wo,HKG,1,0 days 00:18:17,0 days 00:00:19,0 days 01:05:19,0 days 00:00:19,0 days 00:39:35,43.0,0 days 02:03:29,athens_2004,GRE
1791,50098,Javier,Rosas Sierra,MEX,39,0 days 00:18:42,0 days 00:00:17,0 days 01:09:03,0 days 00:00:19,0 days 00:35:59,44.0,0 days 02:04:02,athens_2004,GRE
1791,5353,Marc,Jenkins,GBR,45,0 days 00:18:15,0 days 00:00:22,0 days 01:08:29,0 days 00:00:24,0 days 00:38:27,45.0,0 days 02:05:33,athens_2004,GRE
4392,5692,Jan,Frodeno,GER,32,0 days 00:18:13,0 days 00:00:26,0 days 00:59:01,0 days 00:00:26,0 days 00:30:45,1.0,0 days 01:48:52,beijing_2008,CHN
4392,5302,Simon,Whitfield,CAN,16,0 days 00:18:17,0 days 00:00:26,0 days 00:58:55,0 days 00:00:29,0 days 00:30:48,2.0,0 days 01:48:58,beijing_2008,CHN
4392,5297,Bevan,Docherty,NZL,27,0 days 00:18:23,0 days 00:00:27,0 days 00:58:51,0 days 00:00:26,0 days 00:30:56,3.0,0 days 01:49:05,beijing_2008,CHN
4392,5695,Javier,Gomez Noya,ESP,30,0 days 00:18:08,0 days 00:00:26,0 days 00:59:05,0 days 00:00:29,0 days 00:31:02,4.0,0 days 01:49:13,beijing_2008,CHN
4392,5306,Ivan,Raña Fuentes,ESP,31,0 days 00:18:22,0 days 00:00:26,0 days 00:58:52,0 days 00:00:27,0 days 00:31:14,5.0,0 days 01:49:22,beijing_2008,CHN
4392,5638,Daniel,Unger,GER,34,0 days 00:18:25,0 days 00:00:26,0 days 00:58:49,0 days 00:00:26,0 days 00:31:35,6.0,0 days 01:49:43,beijing_2008,CHN
4392,5325,Hunter,Kemper,USA,21,0 days 00:18:03,0 days 00:00:29,0 days 00:59:05,0 days 00:00:27,0 days 00:31:40,7.0,0 days 01:49:48,beijing_2008,CHN
4392,5323,Rasmus,Henning,DEN,41,0 days 00:18:17,0 days 00:00:26,0 days 00:58:57,0 days 00:00:27,0 days 00:31:48,8.0,0 days 01:49:57,beijing_2008,CHN
4392,73138,Igor,Sysoev,RUS,26,0 days 00:18:01,0 days 00:00:31,0 days 00:59:15,0 days 00:00:29,0 days 00:31:41,9.0,0 days 01:49:59,beijing_2008,CHN
4392,5321,Frederic,Belaubre,FRA,38,0 days 00:18:02,0 days 00:00:27,0 days 00:59:11,0 days 00:00:29,0 days 00:31:48,10.0,0 days 01:50:00,beijing_2008,CHN
4392,5591,Courtney,Atkinson,AUS,11,0 days 00:18:05,0 days 00:00:26,0 days 00:59:08,0 days 00:00:29,0 days 00:31:59,11.0,0 days 01:50:10,beijing_2008,CHN
4392,7788,Alistair,Brownlee,GBR,35,0 days 00:18:11,0 days 00:00:26,0 days 00:59:05,0 days 00:00:29,0 days 00:32:07,12.0,0 days 01:50:19,beijing_2008,CHN
4392,5652,Axel,Zeebroek,BEL,18,0 days 00:18:29,0 days 00:00:26,0 days 00:57:47,0 days 00:00:29,0 days 00:33:15,13.0,0 days 01:50:30,beijing_2008,CHN
4392,6560,William,Clarke,GBR,36,0 days 00:18:53,0 days 00:00:26,0 days 00:58:23,0 days 00:00:31,0 days 00:32:18,14.0,0 days 01:50:32,beijing_2008,CHN
4392,5824,Christian,Prochnow,GER,33,0 days 00:18:23,0 days 00:00:26,0 days 00:58:55,0 days 00:00:26,0 days 00:32:21,15.0,0 days 01:50:33,beijing_2008,CHN
4392,5711,Brad,Kahlefeldt,AUS,12,0 days 00:18:16,0 days 00:00:29,0 days 00:58:55,0 days 00:00:27,0 days 00:32:25,16.0,0 days 01:50:36,beijing_2008,CHN
4392,5823,Bruno,Pais,POR,54,0 days 00:18:27,0 days 00:00:26,0 days 00:58:47,0 days 00:00:26,0 days 00:32:31,17.0,0 days 01:50:40,beijing_2008,CHN
4392,6442,Jarrod,Shoemaker,USA,23,0 days 00:18:18,0 days 00:00:29,0 days 00:59:03,0 days 00:00:27,0 days 00:32:27,18.0,0 days 01:50:46,beijing_2008,CHN
4392,5324,Olivier,Marceau,SUI,44,0 days 00:18:54,0 days 00:00:29,0 days 00:58:18,0 days 00:00:31,0 days 00:32:37,19.0,0 days 01:50:50,beijing_2008,CHN
4392,5340,Filip,Ospaly,CZE,42,0 days 00:18:16,0 days 00:00:29,0 days 00:58:55,0 days 00:00:29,0 days 00:32:40,20.0,0 days 01:50:53,beijing_2008,CHN
4392,5331,Danylo,Sapunov,UKR,52,0 days 00:18:11,0 days 00:00:29,0 days 00:59:05,0 days 00:00:31,0 days 00:32:42,21.0,0 days 01:50:58,beijing_2008,CHN
